[INFO] ====== 任务: 网暴角色划分 ======
[INFO] 算法: APPNP  |  数据集: 社交网络数据集
[TRAIN] epoch 79/358  loss=0.2194  acc=0.9288
[TRAIN] epoch 80/358  loss=0.2184  acc=0.9290
[TRAIN] epoch 81/358  loss=0.2175  acc=0.9304
[TRAIN] epoch 82/358  loss=0.2166  acc=0.9306
[TRAIN] epoch 83/358  loss=0.2157  acc=0.9306
[TRAIN] epoch 84/358  loss=0.2148  acc=0.9310
[TRAIN] epoch 85/358  loss=0.2139  acc=0.9310
[TRAIN] epoch 86/358  loss=0.2131  acc=0.9306
[TRAIN] epoch 87/358  loss=0.2122  acc=0.9306
[TRAIN] epoch 88/358  loss=0.2114  acc=0.9312
[TRAIN] epoch 89/358  loss=0.2106  acc=0.9312
[TRAIN] epoch 90/358  loss=0.2099  acc=0.9312
[TRAIN] epoch 91/358  loss=0.2091  acc=0.9310
[TRAIN] epoch 92/358  loss=0.2084  acc=0.9319
[TRAIN] epoch 93/358  loss=0.2076  acc=0.9328
[TRAIN] epoch 94/358  loss=0.2069  acc=0.9332
[TRAIN] epoch 95/358  loss=0.2061  acc=0.9330
[TRAIN] epoch 96/358  loss=0.2054  acc=0.9328
[TRAIN] epoch 97/358  loss=0.2048  acc=0.9330
[TRAIN] epoch 98/358  loss=0.2041  acc=0.9332
[TRAIN] epoch 99/358  loss=0.2035  acc=0.9330
[TRAIN] epoch 100/358  loss=0.2029  acc=0.9328
[TRAIN] epoch 101/358  loss=0.2023  acc=0.9330
[TRAIN] epoch 102/358  loss=0.2017  acc=0.9328
[TRAIN] epoch 103/358  loss=0.2011  acc=0.9335
[TRAIN] epoch 104/358  loss=0.2005  acc=0.9335
[TRAIN] epoch 105/358  loss=0.2000  acc=0.9337
[TRAIN] epoch 106/358  loss=0.1994  acc=0.9341
[TRAIN] epoch 107/358  loss=0.1988  acc=0.9339
[TRAIN] epoch 108/358  loss=0.1983  acc=0.9337
[TRAIN] epoch 109/358  loss=0.1977  acc=0.9339
[TRAIN] epoch 110/358  loss=0.1972  acc=0.9337
[TRAIN] epoch 111/358  loss=0.1966  acc=0.9337
[TRAIN] epoch 112/358  loss=0.1961  acc=0.9344
[TRAIN] epoch 113/358  loss=0.1956  acc=0.9344
[TRAIN] epoch 114/358  loss=0.1951  acc=0.9341
[TRAIN] epoch 115/358  loss=0.1946  acc=0.9344
[TRAIN] epoch 116/358  loss=0.1942  acc=0.9346
[TRAIN] epoch 117/358  loss=0.1937  acc=0.9348
[TRAIN] epoch 118/358  loss=0.1932  acc=0.9341
[TRAIN] epoch 119/358  loss=0.1928  acc=0.9339
[TRAIN] epoch 120/358  loss=0.1923  acc=0.9348
[TRAIN] epoch 121/358  loss=0.1918  acc=0.9346
[TRAIN] epoch 122/358  loss=0.1914  acc=0.9350
[TRAIN] epoch 123/358  loss=0.1910  acc=0.9355
[TRAIN] epoch 124/358  loss=0.1905  acc=0.9357
[TRAIN] epoch 125/358  loss=0.1901  acc=0.9357
[TRAIN] epoch 126/358  loss=0.1897  acc=0.9357
[TRAIN] epoch 127/358  loss=0.1892  acc=0.9368
[TRAIN] epoch 128/358  loss=0.1888  acc=0.9366
[TRAIN] epoch 129/358  loss=0.1884  acc=0.9368
[TRAIN] epoch 130/358  loss=0.1880  acc=0.9368
[TRAIN] epoch 131/358  loss=0.1876  acc=0.9368
[TRAIN] epoch 132/358  loss=0.1872  acc=0.9368
[TRAIN] epoch 133/358  loss=0.1868  acc=0.9366
[TRAIN] epoch 134/358  loss=0.1864  acc=0.9368
[TRAIN] epoch 135/358  loss=0.1860  acc=0.9366
[TRAIN] epoch 136/358  loss=0.1856  acc=0.9366
[TRAIN] epoch 137/358  loss=0.1852  acc=0.9368
[TRAIN] epoch 138/358  loss=0.1848  acc=0.9370
[TRAIN] epoch 139/358  loss=0.1844  acc=0.9368
[TRAIN] epoch 140/358  loss=0.1840  acc=0.9366
[TRAIN] epoch 141/358  loss=0.1836  acc=0.9370
[TRAIN] epoch 142/358  loss=0.1832  acc=0.9375
[TRAIN] epoch 143/358  loss=0.1829  acc=0.9375
[TRAIN] epoch 144/358  loss=0.1825  acc=0.9372
[TRAIN] epoch 145/358  loss=0.1821  acc=0.9372
[TRAIN] epoch 146/358  loss=0.1817  acc=0.9377
[TRAIN] epoch 147/358  loss=0.1813  acc=0.9381
[TRAIN] epoch 148/358  loss=0.1810  acc=0.9384
[TRAIN] epoch 149/358  loss=0.1806  acc=0.9386
[TRAIN] epoch 150/358  loss=0.1802  acc=0.9386
[TRAIN] epoch 151/358  loss=0.1798  acc=0.9384
[TRAIN] epoch 152/358  loss=0.1795  acc=0.9381
[TRAIN] epoch 153/358  loss=0.1791  acc=0.9386
[TRAIN] epoch 154/358  loss=0.1787  acc=0.9381
[TRAIN] epoch 155/358  loss=0.1784  acc=0.9375
[TRAIN] epoch 156/358  loss=0.1781  acc=0.9377
[TRAIN] epoch 157/358  loss=0.1777  acc=0.9377
[TRAIN] epoch 158/358  loss=0.1774  acc=0.9370
[TRAIN] epoch 159/358  loss=0.1771  acc=0.9370
[TRAIN] epoch 160/358  loss=0.1767  acc=0.9375
[TRAIN] epoch 161/358  loss=0.1764  acc=0.9379
[TRAIN] epoch 162/358  loss=0.1761  acc=0.9384
[TRAIN] epoch 163/358  loss=0.1758  acc=0.9381
[TRAIN] epoch 164/358  loss=0.1755  acc=0.9384
[TRAIN] epoch 165/358  loss=0.1752  acc=0.9386
[TRAIN] epoch 166/358  loss=0.1749  acc=0.9390
[TRAIN] epoch 167/358  loss=0.1746  acc=0.9390
[TRAIN] epoch 168/358  loss=0.1744  acc=0.9393
[TRAIN] epoch 169/358  loss=0.1741  acc=0.9395
[TRAIN] epoch 170/358  loss=0.1738  acc=0.9393
[TRAIN] epoch 171/358  loss=0.1736  acc=0.9388
[TRAIN] epoch 172/358  loss=0.1733  acc=0.9381
[TRAIN] epoch 173/358  loss=0.1730  acc=0.9388
[TRAIN] epoch 174/358  loss=0.1727  acc=0.9388
[TRAIN] epoch 175/358  loss=0.1725  acc=0.9390
[TRAIN] epoch 176/358  loss=0.1722  acc=0.9388
[TRAIN] epoch 177/358  loss=0.1719  acc=0.9390
[TRAIN] epoch 178/358  loss=0.1716  acc=0.9390
[TRAIN] epoch 179/358  loss=0.1713  acc=0.9395
[TRAIN] epoch 180/358  loss=0.1711  acc=0.9397
[TRAIN] epoch 181/358  loss=0.1708  acc=0.9397
[TRAIN] epoch 182/358  loss=0.1705  acc=0.9397
[TRAIN] epoch 183/358  loss=0.1702  acc=0.9397
[TRAIN] epoch 184/358  loss=0.1700  acc=0.9401
[TRAIN] epoch 185/358  loss=0.1697  acc=0.9401
[TRAIN] epoch 186/358  loss=0.1695  acc=0.9401
[TRAIN] epoch 187/358  loss=0.1692  acc=0.9404
[TRAIN] epoch 188/358  loss=0.1689  acc=0.9406
[TRAIN] epoch 189/358  loss=0.1687  acc=0.9413
[TRAIN] epoch 190/358  loss=0.1684  acc=0.9413
[TRAIN] epoch 191/358  loss=0.1682  acc=0.9413
[TRAIN] epoch 192/358  loss=0.1679  acc=0.9408
[TRAIN] epoch 193/358  loss=0.1676  acc=0.9408
[TRAIN] epoch 194/358  loss=0.1674  acc=0.9406
[TRAIN] epoch 195/358  loss=0.1671  acc=0.9404
[TRAIN] epoch 196/358  loss=0.1668  acc=0.9406
[TRAIN] epoch 197/358  loss=0.1666  acc=0.9406
[TRAIN] epoch 198/358  loss=0.1663  acc=0.9408
[TRAIN] epoch 199/358  loss=0.1660  acc=0.9410
[TRAIN] epoch 200/358  loss=0.1658  acc=0.9415
[TRAIN] epoch 201/358  loss=0.1655  acc=0.9410
[TRAIN] epoch 202/358  loss=0.1653  acc=0.9413
[TRAIN] epoch 203/358  loss=0.1650  acc=0.9410
[TRAIN] epoch 204/358  loss=0.1648  acc=0.9408
[TRAIN] epoch 205/358  loss=0.1645  acc=0.9410
[TRAIN] epoch 206/358  loss=0.1643  acc=0.9410
[TRAIN] epoch 207/358  loss=0.1640  acc=0.9413
[TRAIN] epoch 208/358  loss=0.1638  acc=0.9410
[TRAIN] epoch 209/358  loss=0.1636  acc=0.9413
[TRAIN] epoch 210/358  loss=0.1633  acc=0.9415
[TRAIN] epoch 211/358  loss=0.1631  acc=0.9415
[TRAIN] epoch 212/358  loss=0.1629  acc=0.9417
[TRAIN] epoch 213/358  loss=0.1627  acc=0.9413
[TRAIN] epoch 214/358  loss=0.1626  acc=0.9419
[TRAIN] epoch 215/358  loss=0.1626  acc=0.9417
[TRAIN] epoch 216/358  loss=0.1626  acc=0.9413
[TRAIN] epoch 217/358  loss=0.1622  acc=0.9424
[TRAIN] epoch 218/358  loss=0.1616  acc=0.9419
[TRAIN] epoch 219/358  loss=0.1613  acc=0.9417
[TRAIN] epoch 220/358  loss=0.1614  acc=0.9415
[TRAIN] epoch 221/358  loss=0.1612  acc=0.9417
[TRAIN] epoch 222/358  loss=0.1607  acc=0.9417
[TRAIN] epoch 223/358  loss=0.1604  acc=0.9417
[TRAIN] epoch 224/358  loss=0.1604  acc=0.9408
[TRAIN] epoch 225/358  loss=0.1602  acc=0.9417
[TRAIN] epoch 226/358  loss=0.1598  acc=0.9419
[TRAIN] epoch 227/358  loss=0.1596  acc=0.9408
[TRAIN] epoch 228/358  loss=0.1595  acc=0.9415
[TRAIN] epoch 229/358  loss=0.1593  acc=0.9413
[TRAIN] epoch 230/358  loss=0.1590  acc=0.9415
[TRAIN] epoch 231/358  loss=0.1587  acc=0.9421
[TRAIN] epoch 232/358  loss=0.1586  acc=0.9415
[TRAIN] epoch 233/358  loss=0.1584  acc=0.9421
[TRAIN] epoch 234/358  loss=0.1582  acc=0.9413
[TRAIN] epoch 235/358  loss=0.1579  acc=0.9415
[TRAIN] epoch 236/358  loss=0.1577  acc=0.9415
[TRAIN] epoch 237/358  loss=0.1575  acc=0.9413
[TRAIN] epoch 238/358  loss=0.1573  acc=0.9413
[TRAIN] epoch 239/358  loss=0.1571  acc=0.9413
[TRAIN] epoch 240/358  loss=0.1568  acc=0.9410
[TRAIN] epoch 241/358  loss=0.1566  acc=0.9419
[TRAIN] epoch 242/358  loss=0.1564  acc=0.9419
[TRAIN] epoch 243/358  loss=0.1563  acc=0.9421
[TRAIN] epoch 244/358  loss=0.1561  acc=0.9417
[TRAIN] epoch 245/358  loss=0.1558  acc=0.9424
[TRAIN] epoch 246/358  loss=0.1556  acc=0.9424
[TRAIN] epoch 247/358  loss=0.1554  acc=0.9424
[TRAIN] epoch 248/358  loss=0.1552  acc=0.9424
[TRAIN] epoch 249/358  loss=0.1550  acc=0.9421
[TRAIN] epoch 250/358  loss=0.1548  acc=0.9424
[TRAIN] epoch 251/358  loss=0.1546  acc=0.9426
[TRAIN] epoch 252/358  loss=0.1544  acc=0.9424
[TRAIN] epoch 253/358  loss=0.1542  acc=0.9421
[TRAIN] epoch 254/358  loss=0.1540  acc=0.9419
[TRAIN] epoch 255/358  loss=0.1538  acc=0.9419
[TRAIN] epoch 256/358  loss=0.1536  acc=0.9413
[TRAIN] epoch 257/358  loss=0.1535  acc=0.9417
[TRAIN] epoch 258/358  loss=0.1533  acc=0.9428
[TRAIN] epoch 259/358  loss=0.1531  acc=0.9430
[TRAIN] epoch 260/358  loss=0.1529  acc=0.9426
[TRAIN] epoch 261/358  loss=0.1527  acc=0.9426
[TRAIN] epoch 262/358  loss=0.1526  acc=0.9426
[TRAIN] epoch 263/358  loss=0.1524  acc=0.9424
[TRAIN] epoch 264/358  loss=0.1523  acc=0.9430
[TRAIN] epoch 265/358  loss=0.1521  acc=0.9428
[TRAIN] epoch 266/358  loss=0.1520  acc=0.9428
[TRAIN] epoch 267/358  loss=0.1520  acc=0.9430
[TRAIN] epoch 268/358  loss=0.1519  acc=0.9419
[TRAIN] epoch 269/358  loss=0.1518  acc=0.9424
[TRAIN] epoch 270/358  loss=0.1517  acc=0.9424
[TRAIN] epoch 271/358  loss=0.1515  acc=0.9428
[TRAIN] epoch 272/358  loss=0.1512  acc=0.9426
[TRAIN] epoch 273/358  loss=0.1509  acc=0.9426
[TRAIN] epoch 274/358  loss=0.1507  acc=0.9433
[TRAIN] epoch 275/358  loss=0.1506  acc=0.9433
[TRAIN] epoch 276/358  loss=0.1505  acc=0.9430
[TRAIN] epoch 277/358  loss=0.1504  acc=0.9428
[TRAIN] epoch 278/358  loss=0.1503  acc=0.9428
[TRAIN] epoch 279/358  loss=0.1501  acc=0.9430
[TRAIN] epoch 280/358  loss=0.1498  acc=0.9424
[TRAIN] epoch 281/358  loss=0.1496  acc=0.9426
[TRAIN] epoch 282/358  loss=0.1495  acc=0.9433
[TRAIN] epoch 283/358  loss=0.1493  acc=0.9426
[TRAIN] epoch 284/358  loss=0.1492  acc=0.9430
[TRAIN] epoch 285/358  loss=0.1491  acc=0.9426
[TRAIN] epoch 286/358  loss=0.1491  acc=0.9430
[TRAIN] epoch 287/358  loss=0.1490  acc=0.9426
[TRAIN] epoch 288/358  loss=0.1488  acc=0.9433
[TRAIN] epoch 289/358  loss=0.1486  acc=0.9435
[TRAIN] epoch 290/358  loss=0.1484  acc=0.9435
[TRAIN] epoch 291/358  loss=0.1482  acc=0.9426
[TRAIN] epoch 292/358  loss=0.1480  acc=0.9430
[TRAIN] epoch 293/358  loss=0.1479  acc=0.9435
[TRAIN] epoch 294/358  loss=0.1477  acc=0.9439
[TRAIN] epoch 295/358  loss=0.1476  acc=0.9437
[TRAIN] epoch 296/358  loss=0.1476  acc=0.9430
[TRAIN] epoch 297/358  loss=0.1475  acc=0.9435
[TRAIN] epoch 298/358  loss=0.1474  acc=0.9430
[TRAIN] epoch 299/358  loss=0.1473  acc=0.9430
[TRAIN] epoch 300/358  loss=0.1472  acc=0.9435
[TRAIN] epoch 301/358  loss=0.1469  acc=0.9426
[TRAIN] epoch 302/358  loss=0.1467  acc=0.9428
[TRAIN] epoch 303/358  loss=0.1465  acc=0.9428
[TRAIN] epoch 304/358  loss=0.1464  acc=0.9435
[TRAIN] epoch 305/358  loss=0.1463  acc=0.9435
[TRAIN] epoch 306/358  loss=0.1463  acc=0.9435
[TRAIN] epoch 307/358  loss=0.1462  acc=0.9433
[TRAIN] epoch 308/358  loss=0.1461  acc=0.9441
[TRAIN] epoch 309/358  loss=0.1459  acc=0.9437
[TRAIN] epoch 310/358  loss=0.1457  acc=0.9441
[TRAIN] epoch 311/358  loss=0.1455  acc=0.9439
[TRAIN] epoch 312/358  loss=0.1454  acc=0.9439
[TRAIN] epoch 313/358  loss=0.1453  acc=0.9435
[TRAIN] epoch 314/358  loss=0.1452  acc=0.9441
[TRAIN] epoch 315/358  loss=0.1451  acc=0.9441
[TRAIN] epoch 316/358  loss=0.1451  acc=0.9433
[TRAIN] epoch 317/358  loss=0.1450  acc=0.9435
[TRAIN] epoch 318/358  loss=0.1449  acc=0.9433
[TRAIN] epoch 319/358  loss=0.1448  acc=0.9437
[TRAIN] epoch 320/358  loss=0.1446  acc=0.9439
[TRAIN] epoch 321/358  loss=0.1444  acc=0.9435
[TRAIN] epoch 322/358  loss=0.1442  acc=0.9433
[TRAIN] epoch 323/358  loss=0.1442  acc=0.9439
[TRAIN] epoch 324/358  loss=0.1441  acc=0.9428
[TRAIN] epoch 325/358  loss=0.1440  acc=0.9437
[TRAIN] epoch 326/358  loss=0.1440  acc=0.9421
[TRAIN] epoch 327/358  loss=0.1439  acc=0.9435
[TRAIN] epoch 328/358  loss=0.1439  acc=0.9430
[TRAIN] epoch 329/358  loss=0.1438  acc=0.9435
[TRAIN] epoch 330/358  loss=0.1436  acc=0.9428
[TRAIN] epoch 331/358  loss=0.1434  acc=0.9439
[TRAIN] epoch 332/358  loss=0.1432  acc=0.9430
[TRAIN] epoch 333/358  loss=0.1431  acc=0.9433
[TRAIN] epoch 334/358  loss=0.1430  acc=0.9435
[TRAIN] epoch 335/358  loss=0.1429  acc=0.9428
[TRAIN] epoch 336/358  loss=0.1428  acc=0.9433
[TRAIN] epoch 337/358  loss=0.1428  acc=0.9426
[TRAIN] epoch 338/358  loss=0.1428  acc=0.9430
[TRAIN] epoch 339/358  loss=0.1428  acc=0.9424
[TRAIN] epoch 340/358  loss=0.1428  acc=0.9433
[TRAIN] epoch 341/358  loss=0.1427  acc=0.9428
[TRAIN] epoch 342/358  loss=0.1426  acc=0.9439
[TRAIN] epoch 343/358  loss=0.1422  acc=0.9437
[TRAIN] epoch 344/358  loss=0.1420  acc=0.9437
[TRAIN] epoch 345/358  loss=0.1419  acc=0.9435
[TRAIN] epoch 346/358  loss=0.1420  acc=0.9426
[TRAIN] epoch 347/358  loss=0.1421  acc=0.9433
[TRAIN] epoch 348/358  loss=0.1420  acc=0.9428
[TRAIN] epoch 349/358  loss=0.1419  acc=0.9428
[TRAIN] epoch 350/358  loss=0.1416  acc=0.9437
[TRAIN] epoch 351/358  loss=0.1414  acc=0.9435
[TRAIN] epoch 352/358  loss=0.1413  acc=0.9424
[TRAIN] epoch 353/358  loss=0.1413  acc=0.9426
[TRAIN] epoch 354/358  loss=0.1414  acc=0.9430
[TRAIN] epoch 355/358  loss=0.1413  acc=0.9433
[TRAIN] epoch 356/358  loss=0.1412  acc=0.9426
[TRAIN] epoch 357/358  loss=0.1409  acc=0.9428
[TRAIN] epoch 358/358  loss=0.1408  acc=0.9430
[INFO] Early stopping at epoch 358, no improvement for 50 consecutive epochs.
[INFO] 训练完成，开始在测试集上评估 ...
[EVAL] 正在计算预测结果 ...
[EVAL] 评估完成。
[DONE] 测试流程结束，详见下方指标与预测结果表。
