节点ID,用户编号,真实社区编号,预测社区编号,是否预测正确
88,user88,社区2,社区2,是
89,user89,社区1,社区1,是
90,user90,社区1,社区1,是
91,user91,社区2,社区2,是
92,user92,社区1,社区1,是
93,user93,社区2,社区2,是
94,user94,社区1,社区1,是
95,user95,社区2,社区2,是
96,user96,社区1,社区1,是
97,user97,社区1,社区1,是
98,user98,社区1,社区1,是
99,user99,社区2,社区2,是
100,user100,社区2,社区2,是
101,user101,社区1,社区1,是
102,user102,社区2,社区2,是
103,user103,社区1,社区1,是
104,user104,社区1,社区1,是
105,user105,社区2,社区1,否
106,user106,社区1,社区1,是
107,user107,社区1,社区1,是
108,user108,社区1,社区4,否
109,user109,社区1,社区1,是
110,user110,社区4,社区2,否
111,user111,社区5,社区3,否
112,user112,社区1,社区1,是
113,user113,社区1,社区1,是
114,user114,社区3,社区2,否
115,user115,社区1,社区1,是
116,user116,社区2,社区1,否
117,user117,社区2,社区2,是
118,user118,社区1,社区1,是
119,user119,社区1,社区1,是
120,user120,社区1,社区1,是
121,user121,社区1,社区1,是
122,user122,社区2,社区2,是
123,user123,社区1,社区1,是
124,user124,社区1,社区1,是
125,user125,社区5,社区2,否
126,user126,社区2,社区2,是
127,user127,社区2,社区2,是
128,user128,社区2,社区3,否
129,user129,社区1,社区1,是
130,user130,社区1,社区1,是
131,user131,社区2,社区2,是
132,user132,社区1,社区1,是
133,user133,社区1,社区1,是
134,user134,社区1,社区1,是
135,user135,社区1,社区1,是
136,user136,社区1,社区1,是
137,user137,社区1,社区1,是
138,user138,社区1,社区1,是
139,user139,社区1,社区1,是
140,user140,社区3,社区2,否
141,user141,社区1,社区1,是
142,user142,社区2,社区2,是
143,user143,社区1,社区1,是
144,user144,社区1,社区1,是
145,user145,社区3,社区4,否
146,user146,社区2,社区2,是
147,user147,社区1,社区1,是
148,user148,社区1,社区1,是
149,user149,社区1,社区1,是
150,user150,社区2,社区2,是
151,user151,社区1,社区1,是
152,user152,社区1,社区1,是
153,user153,社区1,社区1,是
154,user154,社区2,社区2,是
155,user155,社区1,社区1,是
156,user156,社区1,社区1,是
157,user157,社区5,社区2,否
158,user158,社区1,社区1,是
159,user159,社区1,社区1,是
160,user160,社区1,社区1,是
161,user161,社区1,社区1,是
162,user162,社区1,社区1,是
163,user163,社区1,社区1,是
164,user164,社区1,社区1,是
165,user165,社区1,社区1,是
166,user166,社区2,社区2,是
167,user167,社区3,社区2,否
168,user168,社区1,社区1,是
169,user169,社区1,社区1,是
170,user170,社区1,社区1,是
171,user171,社区1,社区1,是
172,user172,社区2,社区2,是
173,user173,社区1,社区1,是
174,user174,社区1,社区1,是
175,user175,社区4,社区2,否
176,user176,社区5,社区2,否
177,user177,社区1,社区1,是
178,user178,社区1,社区1,是
179,user179,社区1,社区1,是
180,user180,社区2,社区2,是
181,user181,社区4,社区2,否
182,user182,社区2,社区2,是
183,user183,社区1,社区1,是
184,user184,社区1,社区1,是
185,user185,社区1,社区1,是
186,user186,社区1,社区1,是
187,user187,社区2,社区2,是
188,user188,社区1,社区1,是
189,user189,社区1,社区1,是
190,user190,社区1,社区1,是
191,user191,社区2,社区3,否
192,user192,社区1,社区1,是
193,user193,社区2,社区5,否
194,user194,社区1,社区1,是
195,user195,社区1,社区1,是
196,user196,社区1,社区1,是
197,user197,社区1,社区1,是
198,user198,社区1,社区1,是
199,user199,社区1,社区1,是
200,user200,社区1,社区1,是
201,user201,社区1,社区1,是
202,user202,社区2,社区2,是
203,user203,社区2,社区2,是
204,user204,社区1,社区1,是
205,user205,社区1,社区1,是
206,user206,社区1,社区1,是
207,user207,社区1,社区1,是
208,user208,社区1,社区1,是
209,user209,社区1,社区1,是
210,user210,社区3,社区2,否
211,user211,社区2,社区3,否
212,user212,社区1,社区1,是
213,user213,社区1,社区1,是
214,user214,社区2,社区2,是
215,user215,社区1,社区1,是
216,user216,社区1,社区1,是
217,user217,社区1,社区1,是
218,user218,社区1,社区1,是
219,user219,社区1,社区1,是
220,user220,社区2,社区2,是
221,user221,社区2,社区1,否
222,user222,社区1,社区1,是
223,user223,社区2,社区2,是
224,user224,社区1,社区1,是
225,user225,社区1,社区1,是
226,user226,社区3,社区2,否
227,user227,社区2,社区2,是
228,user228,社区1,社区1,是
229,user229,社区5,社区2,否
230,user230,社区4,社区2,否
231,user231,社区2,社区2,是
232,user232,社区1,社区1,是
233,user233,社区1,社区1,是
234,user234,社区1,社区1,是
235,user235,社区1,社区1,是
236,user236,社区1,社区1,是
237,user237,社区1,社区1,是
238,user238,社区1,社区1,是
239,user239,社区2,社区2,是
240,user240,社区5,社区3,否
241,user241,社区1,社区1,是
242,user242,社区2,社区2,是
243,user243,社区2,社区2,是
244,user244,社区1,社区1,是
245,user245,社区1,社区1,是
246,user246,社区1,社区1,是
247,user247,社区1,社区1,是
248,user248,社区1,社区1,是
249,user249,社区1,社区1,是
250,user250,社区1,社区1,是
251,user251,社区1,社区1,是
252,user252,社区1,社区1,是
253,user253,社区2,社区2,是
254,user254,社区5,社区2,否
255,user255,社区1,社区1,是
256,user256,社区1,社区1,是
257,user257,社区2,社区2,是
258,user258,社区2,社区2,是
259,user259,社区2,社区2,是
260,user260,社区2,社区5,否
261,user261,社区1,社区1,是
262,user262,社区1,社区1,是
263,user263,社区1,社区1,是
264,user264,社区1,社区2,否
265,user265,社区1,社区1,是
266,user266,社区1,社区1,是
267,user267,社区3,社区2,否
268,user268,社区1,社区1,是
269,user269,社区1,社区1,是
270,user270,社区1,社区1,是
271,user271,社区3,社区2,否
272,user272,社区1,社区1,是
273,user273,社区1,社区1,是
274,user274,社区3,社区2,否
275,user275,社区1,社区1,是
276,user276,社区1,社区1,是
277,user277,社区2,社区2,是
278,user278,社区2,社区2,是
279,user279,社区1,社区1,是
280,user280,社区1,社区1,是
281,user281,社区3,社区2,否
282,user282,社区1,社区1,是
283,user283,社区2,社区2,是
284,user284,社区2,社区2,是
285,user285,社区2,社区2,是
286,user286,社区2,社区1,否
287,user287,社区1,社区1,是
288,user288,社区1,社区1,是
289,user289,社区4,社区5,否
290,user290,社区1,社区1,是
291,user291,社区1,社区1,是
292,user292,社区2,社区2,是
293,user293,社区2,社区2,是
294,user294,社区1,社区1,是
295,user295,社区3,社区2,否
296,user296,社区1,社区1,是
297,user297,社区1,社区1,是
298,user298,社区2,社区2,是
299,user299,社区2,社区2,是
300,user300,社区2,社区2,是
301,user301,社区1,社区1,是
302,user302,社区3,社区2,否
303,user303,社区1,社区1,是
304,user304,社区5,社区3,否
305,user305,社区1,社区1,是
306,user306,社区1,社区1,是
307,user307,社区1,社区1,是
308,user308,社区1,社区1,是
309,user309,社区2,社区1,否
310,user310,社区1,社区1,是
311,user311,社区1,社区1,是
312,user312,社区3,社区2,否
313,user313,社区1,社区1,是
314,user314,社区5,社区1,否
315,user315,社区1,社区1,是
316,user316,社区2,社区2,是
317,user317,社区1,社区1,是
318,user318,社区1,社区1,是
319,user319,社区1,社区1,是
320,user320,社区1,社区1,是
321,user321,社区1,社区1,是
322,user322,社区2,社区2,是
323,user323,社区1,社区1,是
324,user324,社区1,社区1,是
325,user325,社区2,社区2,是
326,user326,社区1,社区1,是
327,user327,社区1,社区1,是
328,user328,社区2,社区2,是
329,user329,社区1,社区1,是
330,user330,社区1,社区1,是
331,user331,社区1,社区1,是
332,user332,社区1,社区1,是
333,user333,社区2,社区2,是
334,user334,社区1,社区1,是
335,user335,社区1,社区1,是
336,user336,社区4,社区2,否
337,user337,社区1,社区1,是
338,user338,社区1,社区1,是
339,user339,社区2,社区2,是
340,user340,社区1,社区1,是
341,user341,社区1,社区1,是
342,user342,社区2,社区1,否
343,user343,社区2,社区1,否
344,user344,社区5,社区2,否
345,user345,社区2,社区2,是
346,user346,社区1,社区1,是
347,user347,社区2,社区1,否
348,user348,社区5,社区2,否
349,user349,社区1,社区1,是
350,user350,社区1,社区1,是
351,user351,社区2,社区2,是
352,user352,社区1,社区1,是
353,user353,社区1,社区1,是
354,user354,社区2,社区1,否
355,user355,社区1,社区1,是
356,user356,社区1,社区1,是
357,user357,社区2,社区2,是
358,user358,社区2,社区2,是
359,user359,社区2,社区2,是
360,user360,社区1,社区1,是
361,user361,社区1,社区1,是
362,user362,社区1,社区1,是
363,user363,社区2,社区2,是
364,user364,社区2,社区2,是
365,user365,社区1,社区1,是
366,user366,社区1,社区1,是
367,user367,社区1,社区1,是
368,user368,社区1,社区1,是
369,user369,社区1,社区1,是
370,user370,社区1,社区1,是
371,user371,社区2,社区2,是
372,user372,社区1,社区1,是
373,user373,社区2,社区1,否
374,user374,社区1,社区1,是
375,user375,社区1,社区1,是
376,user376,社区5,社区2,否
377,user377,社区3,社区2,否
378,user378,社区1,社区1,是
379,user379,社区5,社区1,否
380,user380,社区1,社区1,是
381,user381,社区1,社区1,是
382,user382,社区2,社区2,是
383,user383,社区1,社区1,是
384,user384,社区1,社区1,是
385,user385,社区2,社区2,是
386,user386,社区1,社区1,是
387,user387,社区1,社区1,是
388,user388,社区1,社区1,是
389,user389,社区1,社区1,是
390,user390,社区1,社区1,是
391,user391,社区1,社区1,是
392,user392,社区1,社区1,是
393,user393,社区2,社区2,是
394,user394,社区2,社区4,否
395,user395,社区1,社区1,是
396,user396,社区1,社区1,是
397,user397,社区1,社区1,是
398,user398,社区1,社区1,是
399,user399,社区1,社区1,是
400,user400,社区2,社区2,是
401,user401,社区1,社区1,是
402,user402,社区2,社区2,是
403,user403,社区1,社区1,是
404,user404,社区4,社区2,否
405,user405,社区2,社区2,是
406,user406,社区2,社区2,是
407,user407,社区1,社区1,是
408,user408,社区5,社区2,否
409,user409,社区2,社区2,是
410,user410,社区1,社区1,是
411,user411,社区3,社区2,否
412,user412,社区1,社区1,是
413,user413,社区2,社区2,是
414,user414,社区1,社区1,是
415,user415,社区1,社区1,是
416,user416,社区2,社区3,否
417,user417,社区1,社区1,是
418,user418,社区2,社区2,是
419,user419,社区1,社区1,是
420,user420,社区2,社区3,否
421,user421,社区1,社区1,是
422,user422,社区1,社区1,是
423,user423,社区5,社区2,否
424,user424,社区1,社区1,是
425,user425,社区1,社区1,是
426,user426,社区2,社区1,否
427,user427,社区2,社区3,否
428,user428,社区2,社区2,是
429,user429,社区1,社区1,是
430,user430,社区1,社区1,是
431,user431,社区5,社区1,否
432,user432,社区4,社区2,否
433,user433,社区1,社区1,是
434,user434,社区1,社区1,是
435,user435,社区1,社区1,是
436,user436,社区5,社区2,否
437,user437,社区2,社区2,是
438,user438,社区1,社区1,是
439,user439,社区2,社区1,否
440,user440,社区3,社区2,否
441,user441,社区2,社区2,是
442,user442,社区2,社区2,是
443,user443,社区1,社区1,是
444,user444,社区1,社区1,是
445,user445,社区2,社区2,是
446,user446,社区4,社区2,否
447,user447,社区2,社区2,是
448,user448,社区1,社区1,是
449,user449,社区1,社区1,是
450,user450,社区5,社区2,否
451,user451,社区1,社区1,是
452,user452,社区2,社区2,是
453,user453,社区5,社区2,否
454,user454,社区1,社区1,是
455,user455,社区1,社区1,是
456,user456,社区4,社区2,否
457,user457,社区2,社区2,是
458,user458,社区1,社区1,是
459,user459,社区3,社区2,否
460,user460,社区1,社区1,是
461,user461,社区1,社区1,是
462,user462,社区1,社区1,是
463,user463,社区1,社区1,是
464,user464,社区1,社区1,是
465,user465,社区1,社区1,是
466,user466,社区2,社区2,是
467,user467,社区1,社区1,是
468,user468,社区2,社区2,是
469,user469,社区3,社区2,否
470,user470,社区1,社区1,是
471,user471,社区1,社区1,是
472,user472,社区1,社区1,是
473,user473,社区1,社区1,是
474,user474,社区1,社区1,是
475,user475,社区1,社区1,是
476,user476,社区1,社区1,是
477,user477,社区1,社区1,是
478,user478,社区1,社区1,是
479,user479,社区1,社区1,是
480,user480,社区2,社区2,是
481,user481,社区1,社区1,是
482,user482,社区1,社区1,是
483,user483,社区1,社区1,是
484,user484,社区2,社区2,是
485,user485,社区5,社区3,否
486,user486,社区1,社区1,是
487,user487,社区1,社区1,是
488,user488,社区1,社区1,是
489,user489,社区4,社区1,否
490,user490,社区2,社区2,是
491,user491,社区5,社区1,否
492,user492,社区1,社区1,是
493,user493,社区1,社区1,是
494,user494,社区2,社区2,是
495,user495,社区1,社区1,是
496,user496,社区1,社区1,是
497,user497,社区1,社区1,是
498,user498,社区1,社区1,是
499,user499,社区1,社区1,是
500,user500,社区1,社区1,是
501,user501,社区5,社区1,否
502,user502,社区3,社区2,否
503,user503,社区1,社区1,是
504,user504,社区4,社区2,否
505,user505,社区2,社区1,否
506,user506,社区1,社区1,是
507,user507,社区1,社区1,是
508,user508,社区1,社区1,是
509,user509,社区1,社区1,是
510,user510,社区2,社区2,是
511,user511,社区1,社区1,是
512,user512,社区1,社区1,是
513,user513,社区1,社区1,是
514,user514,社区2,社区3,否
515,user515,社区1,社区1,是
516,user516,社区1,社区1,是
517,user517,社区2,社区1,否
518,user518,社区2,社区5,否
519,user519,社区1,社区1,是
520,user520,社区2,社区2,是
521,user521,社区4,社区2,否
522,user522,社区1,社区1,是
523,user523,社区2,社区2,是
524,user524,社区1,社区2,否
525,user525,社区1,社区1,是
526,user526,社区1,社区1,是
527,user527,社区4,社区2,否
528,user528,社区2,社区2,是
529,user529,社区2,社区2,是
530,user530,社区1,社区1,是
531,user531,社区1,社区1,是
532,user532,社区1,社区1,是
533,user533,社区1,社区1,是
534,user534,社区1,社区1,是
535,user535,社区1,社区1,是
536,user536,社区1,社区1,是
537,user537,社区1,社区1,是
538,user538,社区2,社区3,否
539,user539,社区2,社区2,是
540,user540,社区2,社区5,否
541,user541,社区1,社区1,是
542,user542,社区1,社区1,是
543,user543,社区2,社区2,是
544,user544,社区1,社区1,是
545,user545,社区1,社区1,是
546,user546,社区5,社区1,否
547,user547,社区1,社区1,是
548,user548,社区1,社区1,是
549,user549,社区1,社区1,是
550,user550,社区1,社区1,是
551,user551,社区2,社区2,是
552,user552,社区1,社区1,是
553,user553,社区1,社区1,是
554,user554,社区1,社区1,是
555,user555,社区1,社区1,是
556,user556,社区1,社区1,是
557,user557,社区2,社区2,是
558,user558,社区1,社区1,是
559,user559,社区2,社区2,是
560,user560,社区1,社区1,是
561,user561,社区1,社区1,是
562,user562,社区1,社区1,是
563,user563,社区4,社区2,否
564,user564,社区2,社区2,是
565,user565,社区1,社区1,是
566,user566,社区1,社区1,是
567,user567,社区1,社区1,是
568,user568,社区1,社区1,是
569,user569,社区4,社区2,否
570,user570,社区1,社区1,是
571,user571,社区1,社区1,是
572,user572,社区1,社区1,是
573,user573,社区2,社区2,是
574,user574,社区1,社区1,是
575,user575,社区2,社区3,否
576,user576,社区1,社区1,是
577,user577,社区2,社区2,是
578,user578,社区2,社区2,是
579,user579,社区1,社区1,是
580,user580,社区1,社区1,是
581,user581,社区1,社区1,是
582,user582,社区2,社区2,是
583,user583,社区5,社区3,否
584,user584,社区1,社区1,是
585,user585,社区1,社区1,是
586,user586,社区1,社区1,是
587,user587,社区1,社区1,是
588,user588,社区1,社区1,是
589,user589,社区1,社区1,是
590,user590,社区1,社区1,是
591,user591,社区1,社区1,是
592,user592,社区2,社区2,是
593,user593,社区1,社区1,是
594,user594,社区1,社区1,是
595,user595,社区1,社区1,是
596,user596,社区2,社区2,是
597,user597,社区1,社区1,是
598,user598,社区4,社区2,否
599,user599,社区2,社区2,是
600,user600,社区1,社区1,是
601,user601,社区2,社区2,是
602,user602,社区1,社区1,是
603,user603,社区5,社区2,否
604,user604,社区2,社区3,否
605,user605,社区1,社区1,是
606,user606,社区2,社区2,是
607,user607,社区1,社区1,是
608,user608,社区2,社区2,是
609,user609,社区1,社区1,是
610,user610,社区3,社区2,否
611,user611,社区1,社区1,是
612,user612,社区1,社区1,是
613,user613,社区2,社区1,否
614,user614,社区1,社区1,是
615,user615,社区5,社区2,否
616,user616,社区1,社区1,是
617,user617,社区1,社区1,是
618,user618,社区1,社区1,是
619,user619,社区1,社区1,是
620,user620,社区1,社区1,是
621,user621,社区2,社区1,否
622,user622,社区1,社区1,是
623,user623,社区1,社区1,是
624,user624,社区1,社区1,是
625,user625,社区1,社区1,是
626,user626,社区1,社区1,是
627,user627,社区2,社区3,否
628,user628,社区2,社区2,是
629,user629,社区1,社区1,是
630,user630,社区1,社区1,是
631,user631,社区2,社区2,是
632,user632,社区2,社区2,是
633,user633,社区2,社区1,否
634,user634,社区1,社区1,是
635,user635,社区1,社区1,是
636,user636,社区2,社区2,是
637,user637,社区1,社区1,是
638,user638,社区1,社区1,是
639,user639,社区2,社区1,否
640,user640,社区1,社区1,是
641,user641,社区1,社区1,是
642,user642,社区1,社区1,是
643,user643,社区2,社区2,是
644,user644,社区1,社区1,是
645,user645,社区1,社区1,是
646,user646,社区1,社区1,是
647,user647,社区1,社区1,是
648,user648,社区2,社区2,是
649,user649,社区2,社区1,否
650,user650,社区1,社区1,是
651,user651,社区1,社区1,是
652,user652,社区2,社区1,否
653,user653,社区1,社区1,是
654,user654,社区1,社区1,是
655,user655,社区2,社区2,是
656,user656,社区1,社区1,是
657,user657,社区1,社区1,是
658,user658,社区1,社区1,是
659,user659,社区1,社区1,是
660,user660,社区5,社区4,否
661,user661,社区1,社区1,是
662,user662,社区1,社区1,是
663,user663,社区2,社区2,是
664,user664,社区1,社区1,是
665,user665,社区1,社区4,否
666,user666,社区3,社区2,否
667,user667,社区1,社区1,是
668,user668,社区1,社区1,是
669,user669,社区1,社区1,是
670,user670,社区1,社区1,是
671,user671,社区1,社区1,是
672,user672,社区1,社区1,是
673,user673,社区1,社区1,是
674,user674,社区2,社区1,否
675,user675,社区1,社区1,是
676,user676,社区2,社区3,否
677,user677,社区1,社区1,是
678,user678,社区1,社区1,是
679,user679,社区3,社区2,否
680,user680,社区1,社区1,是
681,user681,社区2,社区3,否
682,user682,社区1,社区1,是
683,user683,社区1,社区1,是
684,user684,社区3,社区1,否
685,user685,社区2,社区1,否
686,user686,社区2,社区2,是
687,user687,社区2,社区2,是
688,user688,社区1,社区1,是
689,user689,社区1,社区1,是
690,user690,社区3,社区2,否
691,user691,社区2,社区1,否
692,user692,社区2,社区1,否
693,user693,社区1,社区1,是
694,user694,社区2,社区2,是
695,user695,社区1,社区1,是
696,user696,社区2,社区2,是
697,user697,社区1,社区1,是
698,user698,社区2,社区2,是
699,user699,社区1,社区1,是
700,user700,社区2,社区1,否
701,user701,社区2,社区2,是
702,user702,社区1,社区1,是
703,user703,社区1,社区1,是
704,user704,社区1,社区1,是
705,user705,社区1,社区1,是
706,user706,社区2,社区2,是
707,user707,社区2,社区2,是
708,user708,社区1,社区1,是
709,user709,社区1,社区1,是
710,user710,社区2,社区2,是
711,user711,社区1,社区1,是
712,user712,社区1,社区1,是
713,user713,社区4,社区5,否
714,user714,社区1,社区1,是
715,user715,社区1,社区1,是
716,user716,社区2,社区1,否
717,user717,社区2,社区2,是
718,user718,社区1,社区1,是
719,user719,社区2,社区2,是
720,user720,社区1,社区1,是
721,user721,社区1,社区1,是
722,user722,社区2,社区2,是
723,user723,社区1,社区1,是
724,user724,社区1,社区1,是
725,user725,社区4,社区2,否
726,user726,社区1,社区1,是
727,user727,社区1,社区1,是
728,user728,社区1,社区1,是
729,user729,社区1,社区1,是
730,user730,社区1,社区1,是
731,user731,社区2,社区2,是
732,user732,社区1,社区1,是
733,user733,社区2,社区2,是
734,user734,社区5,社区2,否
735,user735,社区1,社区1,是
736,user736,社区1,社区1,是
737,user737,社区5,社区2,否
738,user738,社区5,社区3,否
739,user739,社区1,社区1,是
740,user740,社区2,社区2,是
741,user741,社区4,社区3,否
742,user742,社区2,社区2,是
743,user743,社区1,社区1,是
744,user744,社区1,社区1,是
745,user745,社区1,社区1,是
746,user746,社区1,社区1,是
747,user747,社区1,社区1,是
748,user748,社区1,社区1,是
749,user749,社区1,社区1,是
750,user750,社区3,社区2,否
751,user751,社区1,社区1,是
752,user752,社区2,社区2,是
753,user753,社区1,社区1,是
754,user754,社区1,社区1,是
755,user755,社区1,社区1,是
756,user756,社区1,社区1,是
757,user757,社区1,社区1,是
758,user758,社区1,社区1,是
759,user759,社区1,社区1,是
760,user760,社区2,社区2,是
761,user761,社区1,社区1,是
762,user762,社区2,社区5,否
763,user763,社区1,社区1,是
764,user764,社区2,社区2,是
765,user765,社区2,社区1,否
766,user766,社区1,社区1,是
767,user767,社区1,社区3,否
768,user768,社区3,社区2,否
769,user769,社区1,社区1,是
770,user770,社区1,社区1,是
771,user771,社区1,社区1,是
772,user772,社区2,社区2,是
773,user773,社区1,社区1,是
