[INFO] ====== 任务: 网暴角色划分 ======
[INFO] 算法: GATv2  |  数据集: 社交网络数据集
[TRAIN] epoch 79/326  loss=0.1909  acc=0.9379
[TRAIN] epoch 80/326  loss=0.1890  acc=0.9381
[TRAIN] epoch 81/326  loss=0.1896  acc=0.9390
[TRAIN] epoch 82/326  loss=0.1875  acc=0.9404
[TRAIN] epoch 83/326  loss=0.1847  acc=0.9406
[TRAIN] epoch 84/326  loss=0.1849  acc=0.9404
[TRAIN] epoch 85/326  loss=0.1847  acc=0.9408
[TRAIN] epoch 86/326  loss=0.1834  acc=0.9404
[TRAIN] epoch 87/326  loss=0.1832  acc=0.9406
[TRAIN] epoch 88/326  loss=0.1843  acc=0.9404
[TRAIN] epoch 89/326  loss=0.1790  acc=0.9401
[TRAIN] epoch 90/326  loss=0.1807  acc=0.9397
[TRAIN] epoch 91/326  loss=0.1808  acc=0.9401
[TRAIN] epoch 92/326  loss=0.1780  acc=0.9406
[TRAIN] epoch 93/326  loss=0.1784  acc=0.9410
[TRAIN] epoch 94/326  loss=0.1764  acc=0.9413
[TRAIN] epoch 95/326  loss=0.1762  acc=0.9419
[TRAIN] epoch 96/326  loss=0.1772  acc=0.9428
[TRAIN] epoch 97/326  loss=0.1759  acc=0.9430
[TRAIN] epoch 98/326  loss=0.1753  acc=0.9435
[TRAIN] epoch 99/326  loss=0.1737  acc=0.9426
[TRAIN] epoch 100/326  loss=0.1705  acc=0.9419
[TRAIN] epoch 101/326  loss=0.1749  acc=0.9426
[TRAIN] epoch 102/326  loss=0.1754  acc=0.9428
[TRAIN] epoch 103/326  loss=0.1711  acc=0.9428
[TRAIN] epoch 104/326  loss=0.1701  acc=0.9437
[TRAIN] epoch 105/326  loss=0.1699  acc=0.9439
[TRAIN] epoch 106/326  loss=0.1679  acc=0.9446
[TRAIN] epoch 107/326  loss=0.1667  acc=0.9439
[TRAIN] epoch 108/326  loss=0.1664  acc=0.9435
[TRAIN] epoch 109/326  loss=0.1659  acc=0.9441
[TRAIN] epoch 110/326  loss=0.1612  acc=0.9439
[TRAIN] epoch 111/326  loss=0.1642  acc=0.9437
[TRAIN] epoch 112/326  loss=0.1656  acc=0.9453
[TRAIN] epoch 113/326  loss=0.1617  acc=0.9455
[TRAIN] epoch 114/326  loss=0.1615  acc=0.9450
[TRAIN] epoch 115/326  loss=0.1620  acc=0.9448
[TRAIN] epoch 116/326  loss=0.1601  acc=0.9459
[TRAIN] epoch 117/326  loss=0.1635  acc=0.9453
[TRAIN] epoch 118/326  loss=0.1584  acc=0.9455
[TRAIN] epoch 119/326  loss=0.1576  acc=0.9457
[TRAIN] epoch 120/326  loss=0.1593  acc=0.9453
[TRAIN] epoch 121/326  loss=0.1586  acc=0.9453
[TRAIN] epoch 122/326  loss=0.1569  acc=0.9453
[TRAIN] epoch 123/326  loss=0.1567  acc=0.9453
[TRAIN] epoch 124/326  loss=0.1578  acc=0.9457
[TRAIN] epoch 125/326  loss=0.1578  acc=0.9455
[TRAIN] epoch 126/326  loss=0.1550  acc=0.9448
[TRAIN] epoch 127/326  loss=0.1539  acc=0.9444
[TRAIN] epoch 128/326  loss=0.1552  acc=0.9448
[TRAIN] epoch 129/326  loss=0.1524  acc=0.9459
[TRAIN] epoch 130/326  loss=0.1543  acc=0.9457
[TRAIN] epoch 131/326  loss=0.1515  acc=0.9453
[TRAIN] epoch 132/326  loss=0.1517  acc=0.9462
[TRAIN] epoch 133/326  loss=0.1567  acc=0.9450
[TRAIN] epoch 134/326  loss=0.1523  acc=0.9453
[TRAIN] epoch 135/326  loss=0.1525  acc=0.9462
[TRAIN] epoch 136/326  loss=0.1531  acc=0.9459
[TRAIN] epoch 137/326  loss=0.1528  acc=0.9462
[TRAIN] epoch 138/326  loss=0.1471  acc=0.9468
[TRAIN] epoch 139/326  loss=0.1499  acc=0.9475
[TRAIN] epoch 140/326  loss=0.1517  acc=0.9462
[TRAIN] epoch 141/326  loss=0.1458  acc=0.9462
[TRAIN] epoch 142/326  loss=0.1483  acc=0.9475
[TRAIN] epoch 143/326  loss=0.1448  acc=0.9479
[TRAIN] epoch 144/326  loss=0.1455  acc=0.9475
[TRAIN] epoch 145/326  loss=0.1485  acc=0.9473
[TRAIN] epoch 146/326  loss=0.1456  acc=0.9470
[TRAIN] epoch 147/326  loss=0.1447  acc=0.9473
[TRAIN] epoch 148/326  loss=0.1448  acc=0.9470
[TRAIN] epoch 149/326  loss=0.1457  acc=0.9466
[TRAIN] epoch 150/326  loss=0.1399  acc=0.9466
[TRAIN] epoch 151/326  loss=0.1399  acc=0.9470
[TRAIN] epoch 152/326  loss=0.1417  acc=0.9475
[TRAIN] epoch 153/326  loss=0.1448  acc=0.9475
[TRAIN] epoch 154/326  loss=0.1417  acc=0.9484
[TRAIN] epoch 155/326  loss=0.1385  acc=0.9470
[TRAIN] epoch 156/326  loss=0.1416  acc=0.9475
[TRAIN] epoch 157/326  loss=0.1391  acc=0.9477
[TRAIN] epoch 158/326  loss=0.1386  acc=0.9477
[TRAIN] epoch 159/326  loss=0.1407  acc=0.9468
[TRAIN] epoch 160/326  loss=0.1384  acc=0.9462
[TRAIN] epoch 161/326  loss=0.1379  acc=0.9466
[TRAIN] epoch 162/326  loss=0.1373  acc=0.9470
[TRAIN] epoch 163/326  loss=0.1340  acc=0.9470
[TRAIN] epoch 164/326  loss=0.1384  acc=0.9477
[TRAIN] epoch 165/326  loss=0.1349  acc=0.9486
[TRAIN] epoch 166/326  loss=0.1350  acc=0.9488
[TRAIN] epoch 167/326  loss=0.1341  acc=0.9490
[TRAIN] epoch 168/326  loss=0.1352  acc=0.9486
[TRAIN] epoch 169/326  loss=0.1324  acc=0.9488
[TRAIN] epoch 170/326  loss=0.1348  acc=0.9497
[TRAIN] epoch 171/326  loss=0.1329  acc=0.9495
[TRAIN] epoch 172/326  loss=0.1306  acc=0.9490
[TRAIN] epoch 173/326  loss=0.1302  acc=0.9488
[TRAIN] epoch 174/326  loss=0.1312  acc=0.9479
[TRAIN] epoch 175/326  loss=0.1306  acc=0.9477
[TRAIN] epoch 176/326  loss=0.1318  acc=0.9470
[TRAIN] epoch 177/326  loss=0.1308  acc=0.9486
[TRAIN] epoch 178/326  loss=0.1317  acc=0.9473
[TRAIN] epoch 179/326  loss=0.1269  acc=0.9473
[TRAIN] epoch 180/326  loss=0.1276  acc=0.9475
[TRAIN] epoch 181/326  loss=0.1270  acc=0.9488
[TRAIN] epoch 182/326  loss=0.1288  acc=0.9490
[TRAIN] epoch 183/326  loss=0.1254  acc=0.9490
[TRAIN] epoch 184/326  loss=0.1225  acc=0.9490
[TRAIN] epoch 185/326  loss=0.1282  acc=0.9484
[TRAIN] epoch 186/326  loss=0.1261  acc=0.9482
[TRAIN] epoch 187/326  loss=0.1243  acc=0.9490
[TRAIN] epoch 188/326  loss=0.1244  acc=0.9490
[TRAIN] epoch 189/326  loss=0.1249  acc=0.9497
[TRAIN] epoch 190/326  loss=0.1253  acc=0.9488
[TRAIN] epoch 191/326  loss=0.1230  acc=0.9486
[TRAIN] epoch 192/326  loss=0.1203  acc=0.9479
[TRAIN] epoch 193/326  loss=0.1215  acc=0.9475
[TRAIN] epoch 194/326  loss=0.1219  acc=0.9482
[TRAIN] epoch 195/326  loss=0.1233  acc=0.9479
[TRAIN] epoch 196/326  loss=0.1211  acc=0.9473
[TRAIN] epoch 197/326  loss=0.1222  acc=0.9484
[TRAIN] epoch 198/326  loss=0.1214  acc=0.9484
[TRAIN] epoch 199/326  loss=0.1220  acc=0.9484
[TRAIN] epoch 200/326  loss=0.1218  acc=0.9497
[TRAIN] epoch 201/326  loss=0.1213  acc=0.9502
[TRAIN] epoch 202/326  loss=0.1198  acc=0.9502
[TRAIN] epoch 203/326  loss=0.1225  acc=0.9486
[TRAIN] epoch 204/326  loss=0.1207  acc=0.9506
[TRAIN] epoch 205/326  loss=0.1208  acc=0.9495
[TRAIN] epoch 206/326  loss=0.1212  acc=0.9493
[TRAIN] epoch 207/326  loss=0.1172  acc=0.9484
[TRAIN] epoch 208/326  loss=0.1217  acc=0.9488
[TRAIN] epoch 209/326  loss=0.1168  acc=0.9479
[TRAIN] epoch 210/326  loss=0.1136  acc=0.9479
[TRAIN] epoch 211/326  loss=0.1150  acc=0.9486
[TRAIN] epoch 212/326  loss=0.1157  acc=0.9488
[TRAIN] epoch 213/326  loss=0.1152  acc=0.9499
[TRAIN] epoch 214/326  loss=0.1151  acc=0.9510
[TRAIN] epoch 215/326  loss=0.1163  acc=0.9517
[TRAIN] epoch 216/326  loss=0.1162  acc=0.9508
[TRAIN] epoch 217/326  loss=0.1157  acc=0.9506
[TRAIN] epoch 218/326  loss=0.1149  acc=0.9508
[TRAIN] epoch 219/326  loss=0.1129  acc=0.9502
[TRAIN] epoch 220/326  loss=0.1138  acc=0.9506
[TRAIN] epoch 221/326  loss=0.1137  acc=0.9499
[TRAIN] epoch 222/326  loss=0.1120  acc=0.9490
[TRAIN] epoch 223/326  loss=0.1121  acc=0.9504
[TRAIN] epoch 224/326  loss=0.1106  acc=0.9502
[TRAIN] epoch 225/326  loss=0.1113  acc=0.9508
[TRAIN] epoch 226/326  loss=0.1107  acc=0.9490
[TRAIN] epoch 227/326  loss=0.1116  acc=0.9493
[TRAIN] epoch 228/326  loss=0.1107  acc=0.9495
[TRAIN] epoch 229/326  loss=0.1101  acc=0.9486
[TRAIN] epoch 230/326  loss=0.1134  acc=0.9495
[TRAIN] epoch 231/326  loss=0.1132  acc=0.9484
[TRAIN] epoch 232/326  loss=0.1097  acc=0.9486
[TRAIN] epoch 233/326  loss=0.1104  acc=0.9482
[TRAIN] epoch 234/326  loss=0.1103  acc=0.9482
[TRAIN] epoch 235/326  loss=0.1103  acc=0.9488
[TRAIN] epoch 236/326  loss=0.1100  acc=0.9499
[TRAIN] epoch 237/326  loss=0.1083  acc=0.9504
[TRAIN] epoch 238/326  loss=0.1083  acc=0.9499
[TRAIN] epoch 239/326  loss=0.1062  acc=0.9508
[TRAIN] epoch 240/326  loss=0.1061  acc=0.9499
[TRAIN] epoch 241/326  loss=0.1088  acc=0.9502
[TRAIN] epoch 242/326  loss=0.1073  acc=0.9506
[TRAIN] epoch 243/326  loss=0.1052  acc=0.9517
[TRAIN] epoch 244/326  loss=0.1069  acc=0.9508
[TRAIN] epoch 245/326  loss=0.1095  acc=0.9513
[TRAIN] epoch 246/326  loss=0.1057  acc=0.9508
[TRAIN] epoch 247/326  loss=0.1058  acc=0.9508
[TRAIN] epoch 248/326  loss=0.1023  acc=0.9504
[TRAIN] epoch 249/326  loss=0.1043  acc=0.9513
[TRAIN] epoch 250/326  loss=0.1039  acc=0.9504
[TRAIN] epoch 251/326  loss=0.1033  acc=0.9508
[TRAIN] epoch 252/326  loss=0.1064  acc=0.9506
[TRAIN] epoch 253/326  loss=0.1044  acc=0.9499
[TRAIN] epoch 254/326  loss=0.1020  acc=0.9499
[TRAIN] epoch 255/326  loss=0.1020  acc=0.9499
[TRAIN] epoch 256/326  loss=0.1025  acc=0.9499
[TRAIN] epoch 257/326  loss=0.1038  acc=0.9499
[TRAIN] epoch 258/326  loss=0.1056  acc=0.9499
[TRAIN] epoch 259/326  loss=0.1034  acc=0.9495
[TRAIN] epoch 260/326  loss=0.1059  acc=0.9504
[TRAIN] epoch 261/326  loss=0.1031  acc=0.9515
[TRAIN] epoch 262/326  loss=0.0995  acc=0.9510
[TRAIN] epoch 263/326  loss=0.1013  acc=0.9519
[TRAIN] epoch 264/326  loss=0.0999  acc=0.9508
[TRAIN] epoch 265/326  loss=0.1006  acc=0.9510
[TRAIN] epoch 266/326  loss=0.0998  acc=0.9502
[TRAIN] epoch 267/326  loss=0.1026  acc=0.9517
[TRAIN] epoch 268/326  loss=0.1015  acc=0.9502
[TRAIN] epoch 269/326  loss=0.1002  acc=0.9488
[TRAIN] epoch 270/326  loss=0.1003  acc=0.9497
[TRAIN] epoch 271/326  loss=0.0984  acc=0.9499
[TRAIN] epoch 272/326  loss=0.0989  acc=0.9504
[TRAIN] epoch 273/326  loss=0.0984  acc=0.9506
[TRAIN] epoch 274/326  loss=0.0990  acc=0.9510
[TRAIN] epoch 275/326  loss=0.0986  acc=0.9517
[TRAIN] epoch 276/326  loss=0.0955  acc=0.9528
[TRAIN] epoch 277/326  loss=0.0985  acc=0.9526
[TRAIN] epoch 278/326  loss=0.0980  acc=0.9517
[TRAIN] epoch 279/326  loss=0.0973  acc=0.9497
[TRAIN] epoch 280/326  loss=0.0983  acc=0.9508
[TRAIN] epoch 281/326  loss=0.0983  acc=0.9506
[TRAIN] epoch 282/326  loss=0.1010  acc=0.9508
[TRAIN] epoch 283/326  loss=0.0965  acc=0.9517
[TRAIN] epoch 284/326  loss=0.0968  acc=0.9508
[TRAIN] epoch 285/326  loss=0.0970  acc=0.9499
[TRAIN] epoch 286/326  loss=0.0947  acc=0.9504
[TRAIN] epoch 287/326  loss=0.0945  acc=0.9493
[TRAIN] epoch 288/326  loss=0.0971  acc=0.9488
[TRAIN] epoch 289/326  loss=0.0952  acc=0.9479
[TRAIN] epoch 290/326  loss=0.0961  acc=0.9477
[TRAIN] epoch 291/326  loss=0.0954  acc=0.9488
[TRAIN] epoch 292/326  loss=0.0929  acc=0.9479
[TRAIN] epoch 293/326  loss=0.0975  acc=0.9486
[TRAIN] epoch 294/326  loss=0.0945  acc=0.9504
[TRAIN] epoch 295/326  loss=0.0940  acc=0.9513
[TRAIN] epoch 296/326  loss=0.0970  acc=0.9504
[TRAIN] epoch 297/326  loss=0.0920  acc=0.9495
[TRAIN] epoch 298/326  loss=0.0960  acc=0.9508
[TRAIN] epoch 299/326  loss=0.0923  acc=0.9513
[TRAIN] epoch 300/326  loss=0.0975  acc=0.9522
[TRAIN] epoch 301/326  loss=0.0939  acc=0.9517
[TRAIN] epoch 302/326  loss=0.0916  acc=0.9524
[TRAIN] epoch 303/326  loss=0.0940  acc=0.9519
[TRAIN] epoch 304/326  loss=0.0915  acc=0.9515
[TRAIN] epoch 305/326  loss=0.0913  acc=0.9499
[TRAIN] epoch 306/326  loss=0.0894  acc=0.9504
[TRAIN] epoch 307/326  loss=0.0908  acc=0.9508
[TRAIN] epoch 308/326  loss=0.0902  acc=0.9499
[TRAIN] epoch 309/326  loss=0.0925  acc=0.9499
[TRAIN] epoch 310/326  loss=0.0907  acc=0.9495
[TRAIN] epoch 311/326  loss=0.0920  acc=0.9495
[TRAIN] epoch 312/326  loss=0.0909  acc=0.9506
[TRAIN] epoch 313/326  loss=0.0908  acc=0.9506
[TRAIN] epoch 314/326  loss=0.0905  acc=0.9508
[TRAIN] epoch 315/326  loss=0.0894  acc=0.9508
[TRAIN] epoch 316/326  loss=0.0906  acc=0.9506
[TRAIN] epoch 317/326  loss=0.0889  acc=0.9508
[TRAIN] epoch 318/326  loss=0.0887  acc=0.9519
[TRAIN] epoch 319/326  loss=0.0925  acc=0.9504
[TRAIN] epoch 320/326  loss=0.0883  acc=0.9510
[TRAIN] epoch 321/326  loss=0.0915  acc=0.9506
[TRAIN] epoch 322/326  loss=0.0904  acc=0.9515
[TRAIN] epoch 323/326  loss=0.0870  acc=0.9526
[TRAIN] epoch 324/326  loss=0.0888  acc=0.9526
[TRAIN] epoch 325/326  loss=0.0900  acc=0.9510
[TRAIN] epoch 326/326  loss=0.0929  acc=0.9513
[INFO] Early stopping at epoch 326, no improvement for 50 consecutive epochs.
[INFO] 训练完成，开始在测试集上评估 ...
[EVAL] 正在计算预测结果 ...
[EVAL] 评估完成。
[DONE] 测试流程结束，详见下方指标与预测结果表。
